60.37671	121.422873
74.689455	141.126727
78.872024	148.103154
87.629646	150.161168
95.949227	151.379114
102.769587	152.200208
130.732451	158.447964
159.734662	165.407204
192.848133	244.386367
241.523091	283.677959
327.495175	358.132633
580.142864	590.767863
840.790275	918.848814
870.979753	946.416868
917.887821	989.931442
982.845026	1050.483441
1065.941289	1128.118231
1223.292838	1323.417139
1444.512189	1530.372855
1791.421057	1962.037475
2083.018119	2234.835865
2409.199474	2642.795421
2652.91636	2870.60963
2678.224624	2889.272299
2721.833118	2925.596691
2784.988203	2980.200378
2802.841141	3010.993789
2840.149104	3065.405285
2923.260237	3138.97287
3025.879578	3230.72713
3083.147932	3310.273381
3160.101513	3414.509308
3281.8854	3524.325803
3422.758186	3651.801981
3518.651301	3780.418664
3633.886081	3933.507862
3666.960922	4007.796831
3725.899603	4042.638852
3796.206297	4094.747669
3848.953707	4184.469939
3944.629314	4259.834547
4058.719095	4438.00246
4178.453714	4535.345275
